metric,size,dims,result
pca_$\Delta\lambda$,10,5,0.0461195134975042
pca_$\Delta\theta$,10,5,0.2172682451779905
corr,10,5,0.1511822302427821
pMSE,10,5,0.18383602841774133
ks_test,10,5,0.42000000000000004
pca_$\Delta\lambda$,10,5,0.07573744488211596
pca_$\Delta\theta$,10,5,0.36097291914833435
corr,10,5,0.10898152659519515
pMSE,10,5,0.11811859681025934
ks_test,10,5,0.33999999999999997
pca_$\Delta\lambda$,10,5,0.11866228478262991
pca_$\Delta\theta$,10,5,0.28644285220708654
corr,10,5,0.21213468220758402
pMSE,10,5,0.20378541136207887
ks_test,10,5,0.42000000000000004
pca_$\Delta\lambda$,10,5,0.12792797401068146
pca_$\Delta\theta$,10,5,0.3120590361662499
corr,10,5,0.10425901029205549
pMSE,10,5,0.16232589294536803
ks_test,10,5,0.33999999999999997
pca_$\Delta\lambda$,10,5,0.20336897866242568
pca_$\Delta\theta$,10,5,0.43687678860580614
corr,10,5,0.07115118513279553
pMSE,10,5,0.08915566480923472
ks_test,10,5,0.32
pca_$\Delta\lambda$,10,5,0.07154235979975795
pca_$\Delta\theta$,10,5,0.14159790834246475
corr,10,5,0.15432936965569083
pMSE,10,5,0.21211270885910963
ks_test,10,5,0.36
pca_$\Delta\lambda$,10,5,0.030684360130644205
pca_$\Delta\theta$,10,5,0.26632725313650846
corr,10,5,0.1597399754976974
pMSE,10,5,0.2604832155939675
ks_test,10,5,0.34
pca_$\Delta\lambda$,10,5,0.1382851301821743
pca_$\Delta\theta$,10,5,0.2935297152372534
corr,10,5,0.26135714023853757
pMSE,10,5,0.22810167234050746
ks_test,10,5,0.3
pca_$\Delta\lambda$,10,5,0.12863877881619465
pca_$\Delta\theta$,10,5,0.3222604369002915
corr,10,5,0.20870248826279778
pMSE,10,5,0.1936923324465981
ks_test,10,5,0.36
pca_$\Delta\lambda$,10,5,0.10853843258829557
pca_$\Delta\theta$,10,5,0.5342216916476232
corr,10,5,0.15056314214073688
pMSE,10,5,0.039391993494891295
ks_test,10,5,0.24
pca_$\Delta\lambda$,10,5,0.1866112335304127
pca_$\Delta\theta$,10,5,0.13789717151034783
corr,10,5,0.14514869328667168
pMSE,10,5,0.15448846253156917
ks_test,10,5,0.36000000000000004
pca_$\Delta\lambda$,10,5,0.21506536478505867
pca_$\Delta\theta$,10,5,0.5930566272376692
corr,10,5,0.15659301267860837
pMSE,10,5,0.12683609844842106
ks_test,10,5,0.26
pca_$\Delta\lambda$,10,5,0.06643914601376087
pca_$\Delta\theta$,10,5,0.47111289035444354
corr,10,5,0.22911539699573868
pMSE,10,5,0.26392558337983385
ks_test,10,5,0.4600000000000001
pca_$\Delta\lambda$,10,5,0.1385963599885506
pca_$\Delta\theta$,10,5,0.8600678940563753
corr,10,5,0.14518558093138592
pMSE,10,5,0.1947316624668771
ks_test,10,5,0.38
pca_$\Delta\lambda$,10,5,0.10615234582546745
pca_$\Delta\theta$,10,5,0.5493500149490652
corr,10,5,0.1445830337083149
pMSE,10,5,0.17453795084742968
ks_test,10,5,0.41999999999999993
pca_$\Delta\lambda$,10,5,0.22886964659569617
pca_$\Delta\theta$,10,5,0.07556475619225321
corr,10,5,0.13351758358192414
pMSE,10,5,0.0994001251929196
ks_test,10,5,0.25999999999999995
pca_$\Delta\lambda$,10,5,0.16362033445397753
pca_$\Delta\theta$,10,5,0.2478942248948141
corr,10,5,0.234085575099014
pMSE,10,5,0.0812150873451635
ks_test,10,5,0.26
pca_$\Delta\lambda$,10,5,0.19222363737111658
pca_$\Delta\theta$,10,5,0.5820269012994325
corr,10,5,0.143748518176905
pMSE,10,5,0.1345312551102987
ks_test,10,5,0.27999999999999997
pca_$\Delta\lambda$,10,5,0.14653226596112826
pca_$\Delta\theta$,10,5,0.2365140620334114
corr,10,5,0.28955783183342726
pMSE,10,5,0.17967285351289114
ks_test,10,5,0.4
pca_$\Delta\lambda$,10,5,0.13953848836912996
pca_$\Delta\theta$,10,5,0.5586584249057577
corr,10,5,0.2497369015895054
pMSE,10,5,0.09569222717097516
ks_test,10,5,0.34
pca_$\Delta\lambda$,10,5,0.10957809971193476
pca_$\Delta\theta$,10,5,0.765880538250899
corr,10,5,0.20858555760637096
pMSE,10,5,0.29159487453875077
ks_test,10,5,0.5
pca_$\Delta\lambda$,10,5,0.26674016806117873
pca_$\Delta\theta$,10,5,0.48984870098260386
corr,10,5,0.15985693457426162
pMSE,10,5,0.10420777806560559
ks_test,10,5,0.31999999999999995
pca_$\Delta\lambda$,10,5,0.10569083720081524
pca_$\Delta\theta$,10,5,0.3077377060389316
corr,10,5,0.17824066974172503
pMSE,10,5,0.4509068635323762
ks_test,10,5,0.54
pca_$\Delta\lambda$,10,5,0.11453489651177949
pca_$\Delta\theta$,10,5,0.45207360689033527
corr,10,5,0.14806440445622276
pMSE,10,5,0.21377202462109865
ks_test,10,5,0.38
pca_$\Delta\lambda$,10,5,0.2287647927068475
pca_$\Delta\theta$,10,5,0.25317266283707673
corr,10,5,0.13494190944296558
pMSE,10,5,0.2143864868622945
ks_test,10,5,0.4
pca_$\Delta\lambda$,10,5,0.07781606731731729
pca_$\Delta\theta$,10,5,0.13169280798854358
corr,10,5,0.09471793487705789
pMSE,10,5,0.15967140023945023
ks_test,10,5,0.34
pca_$\Delta\lambda$,10,5,0.05613666243971035
